name,price,short_description,rating,number_of_reviews,product_description
Apple AirPods (2nd Generation),nan,"About this item Quick access to Siri by saying “ Hey Siri ” More than 24 hours total listening time with the Charging Case Effortless setup, in-ear detection, and automatic switching for a magical experience Easily share audio between two sets of AirPods on your iPhone, iPad, iPod touch, or Apple TV",4.8 out of 5,"485,829 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
Apple EarPods with Lightning Connector - White,nan,"About this item Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear which makes them more comfortable for more people than any other earbud-style headphones The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio The EarPods with lightning connector also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord Works with all devices that have a lightning connector and support iOS 10 or later, including iPod touch, iPad, and iPhone",4.6 out of 5,"201,759 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
"Ailun Glass Screen Protector Compatible for iPhone 13/13 Pro [6.1 Inch] Display 3 Pack Tempered Glass,Case Friendly",$6.98,"About this item WORKS FOR iPhone 13/13 Pro 6.1 Inch Display Screen 2021 0.33mm tempered glass screen protector. Featuring maximum protection from scratches, scrapes, and bumps. Specialty:to enhance compatibility with most cases, the Tempered glass does not cover the entire screen. HD ultra-clear rounded glass for iPhone 13/13 Pro is 99.99% touch-screen accurate. 99.99% High-definition clear hydrophobic and oleophobic screen coating protects against sweat and oil residue from fingerprints. It is 100% brand new,Precise laser cut tempered glass, exquisitely polished,2.5D rounded edges. Online video installation instruction: Easiest Installation - removing dust and aligning it properly before actual installation,no worrying about bubbles,enjoy your screen as if it wasn't there.",4.6 out of 5,"20,103 global ratings",nan
"Ailun 2 Pack Screen Protector Compatible for iPhone 13 Pro Max [6.7 inch] Display 2021 with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD",$8.98,"About this item Works For iPhone 13 Pro Max 2021 tempered glass screen protector and camera lens protector.Featuring maximum protection from scratches, scrapes, and bumps. Night shooting function: specially designed iPhone 13 Pro Max 6.7 Inch display 2021.The camera lens protector adopts the new technology of ""seamless"" integration of augmented reality, with light transmittance and night shooting function, without the need to design the flash hole position, when the flash is turned on at night, the original quality of photos and videos can be restored. It is 100% brand new,Precise laser cut tempered glass, exquisitely polished,0.33mm ultra-thin tempered glass screen protector maintains the original response sensitivity and touch, bringing you a good touch experience. Easiest Installation - Please watch our installation video tutorial before installation.Removing dust and aligning it properly before actual installation,no worrying about bubbles,enjoy your screen as if it wasn't there. 99.99% High-definition clear hydrophobic and oleophobic screen coating protects against sweat and oil residue from fingerprints,enhance the visibility of the screen.",4.6 out of 5,"19,530 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport White,$34.98,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) [Smart Touch Control] Specific touch control function makes it more convenient, tap once to play/pause music and answer calls, double tap to skip forward/backward, hold to adjust the volume. You can easily control it without operating the phone. [BLUETOOTH 5. 0] Adopt the advanced Bluetooth 5. 0 technology. TOZO T6 Support HSP, HFP, A2DP, AVRCP, which greatly improve the transmission speed and providing you with a low-latency listening experience. [One step pairing] Pick up 2 headsets from charging case and they will connect each other automatically, then only one step easily enter mobile phone Bluetooth setting to pair the earbuds. [IPX8 waterproof] Earbuds and charging case inner Nano-coating makes it possible to waterproof for 1 meters deep for 30 minutes. It is suitable for sports to prevent water. Ideal for sweating it out at the gym . Earbuds and case even can be washed by water and soap. [Charge on the go] Playtime lasts for over 6 hours from single charge and total 30 hours with charging case. Enjoy fast charging, to fully charge the rechargerable case only 55 minutes via cable or less than 2 hours via wireless charger. Providing convenient charging way with no strings attached.",4.4 out of 5,"191,588 global ratings",nan
nan,nan,nan,nan,nan,nan
