,name,price,images,rating,product_description,number_of_reviews
2,"Dirt Devil Simpli-Stik Vacuum Cleaner, 3-in-1 Hand and Stick Vac, Small, Lightweight and Bagless, SD20000RED, Red",$25.37,"{""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX679_.jpg"":[679,679],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX450_.jpg"":[450,450],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX466_.jpg"":[466,466],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX425_.jpg"":[425,425],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX569_.jpg"":[569,569],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX355_.jpg"":[355,355],""https://m.media-amazon.com/images/I/71SXgQ8U8cL._AC_SX522_.jpg"":[522,522]}",3.9 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Stick Vacuums & Electric Brooms,"25,316 global ratings"
6,"Tineco Floor ONE S3 Cordless Hardwood Floors Cleaner, Lightweight Wet Dry Vacuum Cleaners for Multi-Surface Cleaning with Smart Control System",$399.99,"{""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SX425_.jpg"":[425,425],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SX466_.jpg"":[466,466],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SX522_.jpg"":[522,522],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SX679_.jpg"":[679,679],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SY450_.jpg"":[450,450],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SY355_.jpg"":[355,355],""https://m.media-amazon.com/images/I/610REMZ78qL._AC_SX569_.jpg"":[569,569]}",4.6 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Stick Vacuums & Electric Brooms,"17,684 global ratings"
12,"Drop PLNT HNGR 4FT 3/8""12",,"{""https://m.media-amazon.com/images/I/31GM6owsUbL._AC_SY450_.jpg"":[450,156],""https://m.media-amazon.com/images/I/31GM6owsUbL._AC_SY355_.jpg"":[355,123],""https://m.media-amazon.com/images/I/31GM6owsUbL._AC_.jpg"":[500,173]}",,,
16,"Cuisinart Waffle Maker, Double Belgian, Stainless Steel",$119.95,"{""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SX569_.jpg"":[569,569],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SX425_.jpg"":[425,425],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SX466_.jpg"":[466,466],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SY355_.jpg"":[355,355],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SX679_.jpg"":[679,679],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SX522_.jpg"":[522,522],""https://m.media-amazon.com/images/I/81RjZKgQmtL._AC_SY450_.jpg"":[450,450]}",4.8 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Waffle Irons,"13,004 global ratings"
23,"Waterdrop DA29-00020B Refrigerator Water Filter, Replacement for Samsung HAF-CIN/EXP, WD-F27, 3 Pack",$28.09,"{""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SX466_PIbundle-3,TopRight,0,0_SH20_.jpg"":[466,466],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SX679_PIbundle-3,TopRight,0,0_SH20_.jpg"":[679,679],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SX425_PIbundle-3,TopRight,0,0_SH20_.jpg"":[425,425],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SX522_PIbundle-3,TopRight,0,0_SH20_.jpg"":[522,522],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg"":[355,355],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SY450_PIbundle-3,TopRight,0,0_SH20_.jpg"":[450,450],""https://m.media-amazon.com/images/I/71apo-WSGLL._AC_SX569_PIbundle-3,TopRight,0,0_SH20_.jpg"":[569,569]}",4.7 out of 5,Appliances › Parts & Accessories › Refrigerator Parts & Accessories › Water Filters,"3,070 global ratings"
24,"Cuisinart ICE-30BC Pure Indulgence 2-Quart Automatic Frozen Yogurt, Sorbet, and Ice Cream Maker, Brushed Stainless",$99.90,"{""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SX569_.jpg"":[715,569],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SX425_.jpg"":[534,425],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SX466_.jpg"":[586,466],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SX522_.jpg"":[656,522],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SY450_.jpg"":[450,358],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SX679_.jpg"":[853,679],""https://m.media-amazon.com/images/I/719vjEvIflL._AC_SY355_.jpg"":[355,282]}",4.7 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Ice Cream Machines,"14,470 global ratings"
27,"Toshiba EM131A5C-SS Microwave Oven with Smart Sensor, Easy Clean Interior, ECO Mode and Sound On/Off, 1.2 Cu Ft, Stainless Steel",,"{""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX385_.jpg"":[272,385],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX569_.jpg"":[402,569],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX522_.jpg"":[369,522],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX342_.jpg"":[241,342],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX679_.jpg"":[479,679],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX466_.jpg"":[329,466],""https://m.media-amazon.com/images/I/61GFwwSWD6L._AC_SX425_.jpg"":[300,425]}",4.5 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Microwave Ovens › Countertop Microwave Ovens,"24,732 global ratings"
29,"Cuisinart GR-4NP1 5-in-1 Electric Griddler, Gridder, Brushed Stainless Steel",$99.95,"{""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX466_.jpg"":[287,466],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX569_.jpg"":[350,569],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX425_.jpg"":[261,425],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX450_.jpg"":[277,450],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX355_.jpg"":[218,355],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX679_.jpg"":[417,679],""https://m.media-amazon.com/images/I/71RP3k9CCkS._AC_SX522_.jpg"":[321,522]}",4.7 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Indoor Grills & Griddles › Electric Griddles,"45,220 global ratings"
33,"Milk Frother, Handheld Drink Mixer with Stand and High Powered Electric Whisk, Battery Operated, Detachable Head, Frother for Coffee, Cappuccino, Hot Chocolate, Matcha",$11.99,"{""https://m.media-amazon.com/images/I/712XoyketzL._AC_SY450_.jpg"":[450,450],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SX679_.jpg"":[679,679],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SX466_.jpg"":[466,466],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SX569_.jpg"":[569,569],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SX425_.jpg"":[425,425],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SY355_.jpg"":[355,355],""https://m.media-amazon.com/images/I/712XoyketzL._AC_SX522_.jpg"":[522,522]}",4.4 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Milk Frothers","9,155 global ratings"
36,"Waterdrop 469690 ADQ36006101 Replacement for LG® LT700P® & LT120F® Air Filter, Kenmore 9690, ADQ36006102, LFXS30766S, RFC1200A, FML-3 Refrigerator Water, 3 Combo, Package May Vary",,"{""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SX569_PIbundle-3,TopRight,0,0_SH20_.jpg"":[569,569],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SX466_PIbundle-3,TopRight,0,0_SH20_.jpg"":[466,466],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg"":[355,355],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SY450_PIbundle-3,TopRight,0,0_SH20_.jpg"":[450,450],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SX679_PIbundle-3,TopRight,0,0_SH20_.jpg"":[679,679],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SX425_PIbundle-3,TopRight,0,0_SH20_.jpg"":[425,425],""https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SX522_PIbundle-3,TopRight,0,0_SH20_.jpg"":[522,522]}",4.7 out of 5,Appliances › Parts & Accessories › Refrigerator Parts & Accessories › Water Filters,"1,895 global ratings"
